Time[ms], Volt[V],AVE角速度,角加速度,,MAX角加速度
3020,7.908,-14.9775,-2.85,,
3025,7.926,-14.99175,7.65,,
3030,7.944,-14.9535,1.9,,
3035,7.961,-14.944,9.1,,
3040,7.979,-14.8985,1.8,,
3045,7.997,-14.8895,-4.75,,
3050,8.015,-14.91325,-1.7,,
3055,8.033,-14.92175,-8.2,,
3060,8.05,-14.96275,3.35,,
3065,8.068,-14.946,-8.55,,
3070,8.086,-14.98875,5.95,,
3075,8.103,-14.959,-12.8,,
3080,8.121,-15.023,1.5,,
3085,8.139,-15.0155,-5.75,,
3090,8.156,-15.04425,-15.95,,
3095,8.174,-15.124,-5.85,,
3100,8.191,-15.15325,-21.1,,
3105,8.209,-15.25875,-5.4,,
3110,8.226,-15.28575,-17.5,,
3115,8.244,-15.37325,-12.1,,
3120,8.261,-15.43375,-18.4,,
3125,8.279,-15.52575,-17.45,,
3130,8.296,-15.613,-15.35,,
3135,8.314,-15.68975,-21.35,,
3140,8.331,-15.7965,-21.05,,
3145,8.348,-15.90175,-12.95,,
3150,8.366,-15.9665,-21.65,,
3155,8.383,-16.07475,-26.65,,
3160,8.4,-16.208,-9.1,,
3165,8.418,-16.2535,-20.9,,
3170,8.435,-16.358,-14.5,,
3175,8.452,-16.4305,-15.1,,
3180,8.469,-16.506,-15.85,,
3185,8.486,-16.58525,-5.9,,
3190,8.503,-16.61475,-9.4,,
3195,8.521,-16.66175,-7.5,,
3200,8.538,-16.69925,-5,,
3205,8.555,-16.72425,-0.1,,
3210,8.572,-16.72475,-2.5,,
3215,8.589,-16.73725,5.65,,
3220,8.606,-16.709,-7.3,,
3225,8.623,-16.7455,6.6,,
3230,8.64,-16.7125,4.95,,
3235,8.657,-16.68775,6.1,,
3240,8.674,-16.65725,1.25,,
3245,8.69,-16.651,1.1,,
3250,8.707,-16.6455,22.1,,
3255,8.724,-16.535,3.95,,
3260,8.741,-16.51525,-5.3,,
3265,8.758,-16.54175,4,,
3270,8.774,-16.52175,2.75,,
3275,8.791,-16.508,1.4,,
3280,8.808,-16.501,5.45,,
3285,8.824,-16.47375,-10.6,,
3290,8.841,-16.52675,-0.95,,
3295,8.858,-16.5315,-1.15,,
3300,8.874,-16.53725,-5.75,,
3305,8.891,-16.566,-11.45,,
3310,8.907,-16.62325,-13.05,,
3315,8.924,-16.6885,1,,
3320,8.94,-16.6835,-10.25,,
3325,8.956,-16.73475,-12.4,,
3330,8.973,-16.79675,-18.35,,
3335,8.989,-16.8885,-1.65,,
3340,9.006,-16.89675,-24.55,,
3345,9.022,-17.0195,-19.3,,
3350,9.038,-17.116,-1.1,,
3355,9.054,-17.1215,-20.1,,
3360,9.071,-17.222,-5.75,,
3365,9.087,-17.25075,-4.05,,
3370,9.103,-17.271,-17.4,,
3375,9.119,-17.358,-5.1,,
3380,9.135,-17.3835,5.65,,
3385,9.151,-17.35525,-15.15,,
3390,9.167,-17.431,23.8,,
3395,9.183,-17.312,-12.7,,
3400,9.199,-17.3755,6.5,,
3405,9.215,-17.343,10.2,,
3410,9.231,-17.292,-1.8,,
3415,9.247,-17.301,16.9,,
3420,9.263,-17.2165,6.95,,
3425,9.278,-17.18175,0.9,,
3430,9.294,-17.17725,9.3,,
3435,9.31,-17.13075,-3.5,,
3440,9.326,-17.14825,1.85,,
3445,9.341,-17.139,-0.65,,
3450,9.357,-17.14225,-0.75,,
3455,9.373,-17.146,-1.8,,
3460,9.388,-17.155,-6.45,,
3465,9.404,-17.18725,-15.55,,
3470,9.419,-17.265,-7.15,,
3475,9.435,-17.30075,-6.05,,
3480,9.45,-17.331,-19.45,,
3485,9.466,-17.42825,-18.05,,
3490,9.481,-17.5185,-1.2,,
3495,9.496,-17.5245,-28.6,,
3500,9.512,-17.6675,-15.85,,
3505,9.527,-17.74675,-18.9,,
3510,9.542,-17.84125,-19.05,,
3515,9.557,-17.9365,-35.75,,
3520,9.572,-18.11525,-5.55,,
3525,9.588,-18.143,-30.25,,
3530,9.603,-18.29425,-15,,
3535,9.618,-18.36925,-20,,
3540,9.633,-18.46925,-15.9,,
3545,9.648,-18.54875,-5.65,,
3550,9.663,-18.577,-20.5,,
3555,9.678,-18.6795,4.4,,
3560,9.692,-18.6575,-9.1,,
3565,9.707,-18.703,4.1,,
3570,9.722,-18.6825,0.35,,
3575,9.737,-18.68075,12.45,,
3580,9.752,-18.6185,-3.4,,
3585,9.766,-18.6355,17.9,,
3590,9.781,-18.546,6.7,,
3595,9.796,-18.5125,4.85,,
3600,9.81,-18.48825,16.2,,
3605,9.825,-18.40725,0.35,,
3610,9.839,-18.4055,5.55,,
3615,9.854,-18.37775,3.4,,
